Order ;Genus;Species;Name_in_Upham;Taxonomy note;In_Upham;DNA_in_Upham;Clade_Colonization_Scenario_1;Clade_Colonization_Scenario_2;Status_Species;Additional_range_note;Extinct/Extant;Subspecies;Other_Names;Common_Name;Family;References;Extinction_References
Chiroptera;Pipistrellus;hesperidus;Pipistrellus hesperidus;NA;Yes;Yes;Pipistrellus_hesperidus;Pipistrellus_hesperidus;Non-endemic;Africa;Extant;NA;Pipistrellus kuhlii;Dusky pipistrelle;Vespertilionidae;"Goodman et al., 2015b; Dammhahn et al., 2019; Cardiff & Jenkins, 2016";NA
Chiroptera;Pipistrellus;raceyi;Pipistrellus raceyi;NA;Yes;No;Pipistrellus_raceyi;Pipistrellus_raceyi;Endemic;NA;Extant;NA;NA;Racey's pipistrelle;Vespertilionidae;"Goodman et al., 2015b; Dammhahn et al., 2019; Cardiff & Jenkins, 2016";NA
Chiroptera;Pteropus;rufus;Pteropus rufus;NA;Yes;Yes;Pteropus_rufus;Pteropus_rufus;Endemic;NA;Extant;NA;NA;Madagascar flying fox;Pteropodidae;"Goodman, 2011; Cardiff & Jenkins, 2016; Goodman & Jungers, 2014";NA
Chiroptera;Rousettus;madagascariensis;Rousettus madagascariensis;NA;Yes;Yes;Rousettus_madagascariensis;Rousettus_madagascariensis;Endemic;NA;Extant;NA;NA;Madagascar rousette;Pteropodidae;"Goodman, 2011; Cardiff & Jenkins, 2016; Goodman & Jungers, 2014";NA
Chiroptera;Scotophilus;marovaza;Scotophilus marovaza;NA;Yes;Yes;Scotophilus_maro_tandr;Scotophilus_maro_tandr;Endemic;NA;Extant;NA;NA;Marovaza house bat;Vespertilionidae;"Goodman et al., 2006; Dammhahn et al., 2019; Goodman, 2011; Cardiff & Jenkins, 2016";NA
Chiroptera;Scotophilus;robustus;Scotophilus robustus;NA;Yes;Yes;Scotophilus_robustus;Scotophilus_robustus;Endemic;NA;Extant;NA;NA;Malagasy large house bat;Vespertilionidae;"Dammhahn et al., 2019; Goodman, 2011; Cardiff & Jenkins, 2016";NA
Chiroptera;Scotophilus;tandrefana;Scotophilus tandrefana;NA;Yes;Yes;Scotophilus_maro_tandr;Scotophilus_maro_tandr;Endemic;NA;Extant;NA;NA;Malagasy western house bat;Vespertilionidae;"Goodman et al., 2005b; Goodman, 2011; Cardiff & Jenkins, 2016";NA
Chiroptera;Tadarida;fulminans;Tadarida fulminans;NA;Yes;Yes;Tadarida_fulminans;Tadarida_fulminans;Non-endemic;Africa;Extant;NA;Tadarida miarensis;Malagasy free-tailed bat;Molossidae;"Goodman, 2011; Cardiff & Jenkins, 2016";NA
Chiroptera;Taphozous;mauritianus;Taphozous mauritianus;NA;Yes;Yes;Taphozous_mauritianus;Taphozous_mauritianus;Non-endemic;Africa, Comoros, Mascarenes, Aldabra, Mauritius, Réunion, Assumption;Extant;NA;NA;Mauritian tomb bat;Emballonuridae;"Goodman et al., 2010c; Goodman, 2011; Cardiff & Jenkins, 2016";NA
Chiroptera;Triaenops;menamena;Triaenops menamena;NA;Yes;Yes;Triaenops_menamena;Triaenops_menamena;Endemic;NA;Extant;NA;Tadarida rufus;Rufous trident bat;Hipposideridae;"Goodman & Ranivo, 2009;  Reher et al., 2019; Russell et al., 2007; Cardiff & Jenkins, 2016";NA
Primates;Allocebus;trichotis;Allocebus trichotis;NA;Yes;Yes;Lemuroidea;Lemuroidea;Endemic;NA;Extant;NA;Cheirogaleus trichotis;Hairy-eared dwarf lemur;Cheirogaleidae;"Groves, 2016; Mittermeier et al., 2014; Herrera & Davalos, 2016; Kouvari & van der Geer, 2018";NA
