Archipelago,Subfamily,Tribe,Genus,Species,Subspecies,Our_name,Native,Endemic,Extinct_extant,Phylo_available,Time_calibrated,Archipelago_clade,DAISIE_status,Sampled,Name_in_tree
Hawaii,Asteroideae,Heliantheae,Melanthera,micrantha,subsp. exigua,Melanthera_micrantha_exigua,Native,Endemic,Extinct,Yes_species,Dated,Lipochaeta_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Heliantheae,Melanthera,perdita,NA,Melanthera_perdita,Native,Endemic,Extinct,Yes_clade,Dated,Lipochaeta_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Heliantheae,Melanthera,populifolia,NA,Melanthera_populifolia,Native,Endemic,Extinct,Yes_clade,Dated,Lipochaeta_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Heliantheae,Melanthera,remyi,NA,Melanthera_remyi,Native,Endemic,Extant,Yes_species,Dated,Lipochaeta_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Heliantheae,Melanthera,subcordata,NA,Melanthera_subcordata,Native,Endemic,Extant,Yes_species,Dated,Lipochaeta_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Heliantheae,Melanthera,tenuifolia,NA,Melanthera_tenuifolia,Native,Endemic,Extant,Yes_species,Dated,Lipochaeta_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Heliantheae,Melanthera,tenuis,NA,Melanthera_tenuis,Native,Endemic,Extant,Yes_species,Dated,Lipochaeta_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Heliantheae,Melanthera,venosa,NA,Melanthera_venosa,Native,Endemic,Extant,Yes_species,Dated,Lipochaeta_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Heliantheae,Melanthera,waimeaensis,NA,Melanthera_waimeaensis,Native,Endemic,Extant,Yes_species,Dated,Lipochaeta_alliance,Endemic,FALSE,NA
Hawaii,Asteroideae,Coreopsideae,Bidens,spnovOahu,NA,Bidens_spnovOahu,Native,Endemic,Extant,Yes_species,Dated,Bidens,Endemic,TRUE,BidspnovLF12810G90
